Track Name,Artist,Album,Release Date,Popularity,Duration (ms),Track URL,Piano Solo Video,Duration (min:sec)
Ponta solta,ANAVITÓRIA,Esquinas,2024-12-12,56,196153,https://open.spotify.com/track/20TfKdIZkrCdYq3l6hpnn5,https://www.youtube.com/watch?v=MJkd9ndCfrY,3:16
Beija Eu,Marisa Monte,Mais,1991-01-01,58,194040,https://open.spotify.com/track/7tkka2fYf1erIg8wy8r9Lt,https://www.youtube.com/watch?v=DfCipXMmKMQ,3:14
Sonhos,Peninha,Sonhos,1977-04-04,46,252570,https://open.spotify.com/track/2QoRM3k03DX53hewsaV79a,https://www.youtube.com/watch?v=BcTj8tuAuOY,4:12
Homem Com H,Ney Matogrosso,Ney Matogrosso,1981-01-01,50,177226,https://open.spotify.com/track/5LgtJshfcCKoi4LQ40ym4d,https://www.youtube.com/watch?v=xVncQcT6Fms,2:57
Cotidiano,Chico Buarque,Construção,1971-01-01,57,168373,https://open.spotify.com/track/127twwy3iCo1xBRQHyWetU,https://www.youtube.com/watch?v=WYkh9_LYldA,2:48
Gentileza - 2004 Digital Remaster,Marisa Monte,"Memórias, Crônicas e Declarações de Amor",2000-01-01,47,167266,https://open.spotify.com/track/18TFoAFWWnioLhmnyfRdLr,https://www.youtube.com/watch?v=nonJx3Q0ZNo,2:47
Meu Esquema,Mundo Livre S/A,Por Pouco (Bit Box),2000,44,259480,https://open.spotify.com/track/5hO3HgwIygwqjkGsw6wdP3,https://www.youtube.com/watch?v=TCLGN6m6AMI,4:19
Escrito Nas Estrelas,Tetê Espíndola,Escrito Nas Estrelas,1985-05-05,38,246674,https://open.spotify.com/track/4EKzX2xQRLuWzCGBcgp3Su,https://www.youtube.com/watch?v=8sK6JpIFHvk,4:06
Lágrimas Negras,Gal Costa,Cantar,1974-01-01,49,215440,https://open.spotify.com/track/78I8jaChZbPu72bIGGPMKk,https://www.youtube.com/watch?v=-LpaAkSCeB4,3:35
Coração de Estudante (feat. Milton Nascimento),Roberto Carlos,Roberto Carlos Duetos,2006,31,202813,https://open.spotify.com/track/2CN8FBm1EICupHecnriuwA,https://www.youtube.com/watch?v=KsqAfD4BkwA,3:22
Entre a Serpente e a Estrela (Amarillo By Morning) [Ao Vivo],Zé Ramalho,Zé Ramalho Ao Vivo 2005 (Deluxe),2005-07-18,45,223880,https://open.spotify.com/track/3JXkd1PnKZNDYhH3DzOhzF,https://www.youtube.com/watch?v=JWKO-ITF0DA,3:43
Cor De Marte,ANAVITÓRIA,ANAVITÓRIA,2016-08-19,53,191289,https://open.spotify.com/track/3kNT9msV6JCFz6NnmDcyp2,https://www.youtube.com/watch?v=uc8NztUYWsY,3:11
Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,Rodrigo Amarante,Tuyo (Narcos Theme) [Extended Version] [A Netflix Original Series Soundtrack],2018-11-16,63,151565,https://open.spotify.com/track/6g2BiiVQqY5v1S4HIrM54F,https://www.youtube.com/watch?v=zNPXnAVyAUA,2:31
Quem Sabe Isso Quer Dizer Amor,Milton Nascimento,Pietá,2005-07-26,57,239933,https://open.spotify.com/track/67UiC5PaQlxa2uVugbwjw3,https://www.youtube.com/watch?v=pU8KYE33eCc,3:59
Mulheres De Atenas,Chico Buarque,Meus Caros Amigos,1976-01-01,39,260600,https://open.spotify.com/track/6VIgGcxTOjPpvFUrFzM2TO,https://www.youtube.com/watch?v=tvZY3Kciu6w,4:20
Oração,A Banda Mais Bonita da Cidade,A Banda Mais Bonita da Cidade,2011-11-01,57,301346,https://open.spotify.com/track/0YBq701BXkMaK6V5UyvOpT,https://www.youtube.com/watch?v=dEPmpn0c_Yk,5:01
Alucinação,Belchior,Alucinacao,1976-01-01,48,294360,https://open.spotify.com/track/6lCcA1ugWuQPBCHXecSwc8,https://www.youtube.com/watch?v=trVCgZmMafw,4:54
Quero contar pra São Paulo,ANAVITÓRIA,Esquinas,2024-12-12,55,210643,https://open.spotify.com/track/2jGD5AlhBi8V8YZMnwXHkX,https://www.youtube.com/watch?v=MzmI6ZmO8v8,3:30
Telegrama,Zeca Baleiro,Pet Shop Mundo Cão,2002,56,266080,https://open.spotify.com/track/7xpDGoUGbtaquk5xMvzwTh,https://www.youtube.com/watch?v=KSKiFOfPOXw,4:26
São Gonça,Seu Jorge,Ana E Jorge,2005-11-17,51,297066,https://open.spotify.com/track/30lKTJnxHqfD1UeiAn0BLD,https://www.youtube.com/watch?v=h_teKu3Awe8,4:57
A lista,Oswaldo Montenegro,25 Anos,2004-11-26,53,179266,https://open.spotify.com/track/7azaUeZjFTpxUbpTFsZPX4,https://www.youtube.com/watch?v=sFSWlfZ4CXM,2:59
É Você - 2004 Digital Remaster,Tribalistas,Tribalistas,2002-01-01,57,171360,https://open.spotify.com/track/1yUm0iWD3rDf8dViBRpSkt,https://www.youtube.com/watch?v=YcOyefoJec0,2:51
Espumas ao Vento,Fagner,Terral,1997-03-30,52,244533,https://open.spotify.com/track/1DcKuTqFYTYTTERUwTeEUS,,4:04
